show_title,season_title,category,max_weeks,best_rank,entry_rank,tmdb_id,tmdb_rating,tmdb_vote_count,tmdb_popularity,genres,original_language,runtime_minutes,days_since_release,is_korean,is_sequel,budget_usd,avg_cast_popularity,first_week,is_breakout,lang_label
Risqué Business: The Netherlands and Germany,Risqué Business: The Netherlands and Germany: Season 1,TV,2,2,5,244890.0,7.0,5.0,2.4121,Reality,ko,,5.0,1,0,,1.29,2024-02-25,0,Korean
Romance in the House,Romance in the House: Limited Series,TV,7,2,7,258707.0,7.588,34.0,3.6737,Family|Drama,ko,60.0,1.0,1,0,,1.68,2024-08-11,1,Korean
Romantics Anonymous,Romantics Anonymous: Season 1,TV,3,6,10,249054.0,8.525,19.0,2.6892,Comedy|Drama,ja,,3.0,0,0,,2.44,2025-10-19,0,Japanese
Rounders,,Films,2,5,7,10220.0,7.009,1871.0,3.7716,Drama|Crime,en,121.0,9690.0,0,0,12000000.0,5.07,2025-03-23,0,English
Rugged Rugby: Conquer or Die,Rugged Rugby: Conquer or Die: Season 1,TV,1,7,7,260566.0,9.5,2.0,1.3281,Reality,ko,,5.0,1,0,,0.0,2024-12-15,0,Korean
SAKAMOTO DAYS,SAKAMOTO DAYS: Season 1,TV,11,3,9,207332.0,8.104,297.0,22.4129,Animation|Comedy|Action & Adventure,ja,,8.0,0,0,,3.3,2025-01-19,1,Japanese
SPY x FAMILY,SPY x FAMILY: Season 2,TV,3,6,9,120089.0,8.5,2184.0,56.0463,Animation|Action & Adventure|Comedy,ja,24.0,554.0,0,1,,2.41,2023-10-15,0,Japanese
STRAW,,Films,2,2,6,1426776.0,7.745,916.0,11.9152,Thriller|Drama|Crime,en,105.0,10.0,0,0,0.0,3.54,2025-06-15,0,English
Sakra,,Films,2,7,7,990140.0,6.458,192.0,5.3376,Action,cn,130.0,405.0,0,0,0.0,3.09,2024-02-25,0,Other
Salaar,,Films,1,10,10,770906.0,6.7,104.0,3.3149,Action|Crime|Drama,te,175.0,59.0,0,0,34000000.0,3.32,2024-02-18,0,Other
Saving Bikini Bottom: The Sandy Cheeks Movie,,Films,1,10,10,831815.0,6.0,151.0,4.8666,Family|Comedy|Adventure|Animation,en,87.0,-51.0,0,0,100000000.0,3.51,2024-08-11,0,English
Saw,,Films,1,7,7,176.0,7.419,9875.0,8.4562,Horror|Mystery|Crime,en,103.0,7233.0,0,0,1200000.0,2.69,2024-07-21,0,English
Screwballs,Screwballs: Season 1,TV,4,2,10,25164.0,5.029,105.0,0.6295,Comedy,en,80.0,15311.0,0,0,800000.0,1.06,2025-03-02,1,English
Search Out,,Films,1,7,7,680973.0,7.4,4.0,0.2037,Thriller|Crime,ko,0.0,1495.0,1,0,0.0,0.77,2024-05-19,0,Korean
"Secretly, Greatly",,Films,1,8,8,199584.0,6.983,210.0,2.2468,Action|Drama|Comedy,ko,124.0,4015.0,1,0,0.0,2.23,2024-06-02,0,Korean
See You in My 19th Life,See You in My 19th Life: Limited Series,TV,7,3,7,154824.0,8.2,198.0,7.5206,Drama|Comedy,ko,62.0,1.0,1,0,,3.44,2023-06-18,1,Korean
Sergeant Kim at Military,Sergeant Kim at Military: Season 1,TV,2,2,6,313031.0,6.0,2.0,0.2395,Reality,ko,,6.0,1,0,,0.86,2026-02-08,0,Korean
Seventh Son,,Films,2,7,7,68737.0,5.516,2614.0,5.625,Adventure|Fantasy,en,102.0,3936.0,0,0,95000000.0,4.37,2025-09-21,0,English
Shadows in the Palace,,Films,1,9,9,61128.0,6.944,18.0,0.7917,Mystery|Drama|Thriller,ko,112.0,6086.0,1,0,0.0,1.64,2024-06-16,0,Korean
Shiri,,Films,1,8,8,130543.0,2.75,4.0,2.2086,Drama|TV Movie,de,120.0,18065.0,0,0,0.0,1.42,2025-07-06,0,Other
Shooter,,Films,2,6,10,7485.0,7.121,5308.0,12.2899,Drama|Action|Thriller,en,124.0,6212.0,0,0,61000000.0,5.53,2024-03-24,0,English
Shot Caller,,Films,2,6,6,339692.0,6.954,2174.0,9.0858,Crime|Drama|Thriller,en,121.0,2578.0,0,0,0.0,3.57,2024-07-28,0,English
Shotgun Wedding,,Films,2,8,8,758009.0,6.251,1276.0,2.7817,Action|Comedy|Romance,en,101.0,193.0,0,0,0.0,3.39,2023-07-09,0,English
Single Rider,,Films,1,6,6,435603.0,7.2,38.0,1.0455,Drama,ko,97.0,2517.0,1,0,0.0,2.51,2024-01-14,0,Korean
Single in Seoul,,Films,3,4,7,717088.0,6.2,15.0,0.9778,Romance|Comedy,ko,103.0,95.0,1,0,0.0,1.72,2024-03-03,0,Korean
Single's Inferno Reunion,Single's Inferno Reunion: Limited Series,TV,1,2,2,313995.0,7.7,10.0,3.7977,Reality,ko,,1.0,1,0,,0.0,2026-02-15,0,Korean
