country_name,country_iso2,week,category,weekly_rank,show_title,season_title,cumulative_weeks_in_top_10,language
South Korea,KR,2025-12-14,Films,3,Only God knows Everything,,1,English
South Korea,KR,2025-12-14,Films,4,Wake Up Dead Man: A Knives Out Mystery,,1,English
South Korea,KR,2025-12-14,Films,5,Pretty Crazy,,3,English
South Korea,KR,2025-12-14,Films,6,Troll 2,,2,English
South Korea,KR,2025-12-14,Films,7,Canola,,1,English
South Korea,KR,2025-12-14,Films,8,The Call of the Wild,,1,English
South Korea,KR,2025-12-14,Films,9,KPop Demon Hunters,,26,English
South Korea,KR,2025-12-14,Films,10,Troll,,6,English
South Korea,KR,2025-12-14,TV,1,The Price of Confession,The Price of Confession: Season 1,2,English
South Korea,KR,2025-12-14,TV,2,Taxi Driver,Taxi Driver: Season 3,4,English
South Korea,KR,2025-12-14,TV,3,Pro Bono,Pro Bono: Limited Series,1,English
South Korea,KR,2025-12-14,TV,4,Three Idiots in Kenya,Three Idiots in Kenya: Season 1,3,English
South Korea,KR,2025-12-14,TV,5,Badly in Love,Badly in Love: Season 1,1,English
South Korea,KR,2025-12-14,TV,6,Dynamite Kiss,Dynamite Kiss: Limited Series,5,English
South Korea,KR,2025-12-14,TV,7,Don’t Call Me Ma’am,Don’t Call Me Ma’am: Season 1,5,English
South Korea,KR,2025-12-14,TV,8,I am Solo,I am Solo: Part 29 - 32,1,English
South Korea,KR,2025-12-14,TV,9,The Dream Life of Mr. Kim,The Dream Life of Mr. Kim: Limited Series,8,English
South Korea,KR,2025-12-14,TV,10,Baseball Queen,Baseball Queen: Season 1,3,English
South Korea,KR,2025-12-07,Films,1,Omniscient Reader: The Prophecy,,1,English
South Korea,KR,2025-12-07,Films,2,Pretty Crazy,,2,English
South Korea,KR,2025-12-07,Films,3,Troll 2,,1,English
South Korea,KR,2025-12-07,Films,4,Chainsaw Man – The Compilation,,1,English
South Korea,KR,2025-12-07,Films,5,Crayon Shin-chan the Movie: Our Dinosaur Diary,,1,English
South Korea,KR,2025-12-07,Films,6,KPop Demon Hunters,,25,English
South Korea,KR,2025-12-07,Films,7,Troll,,5,English
South Korea,KR,2025-12-07,Films,8,Commission,,3,English
South Korea,KR,2025-12-07,Films,9,G.I. Joe: Retaliation,,3,English
South Korea,KR,2025-12-07,Films,10,Frankenstein,,5,English
South Korea,KR,2025-12-07,TV,1,The Price of Confession,The Price of Confession: Season 1,1,English
South Korea,KR,2025-12-07,TV,2,Three Idiots in Kenya,Three Idiots in Kenya: Season 1,2,English
South Korea,KR,2025-12-07,TV,3,Taxi Driver,Taxi Driver: Season 3,3,English
South Korea,KR,2025-12-07,TV,4,The Dream Life of Mr. Kim,The Dream Life of Mr. Kim: Limited Series,7,English
South Korea,KR,2025-12-07,TV,5,Dynamite Kiss,Dynamite Kiss: Limited Series,4,English
South Korea,KR,2025-12-07,TV,6,Don’t Call Me Ma’am,Don’t Call Me Ma’am: Season 1,4,English
South Korea,KR,2025-12-07,TV,7,Chasing Borderless Crime,Chasing Borderless Crime 2025,1,English
South Korea,KR,2025-12-07,TV,8,Baseball Queen,Baseball Queen: Season 1,2,English
South Korea,KR,2025-12-07,TV,9,Typhoon Family,Typhoon Family: Limited Series,9,English
South Korea,KR,2025-12-07,TV,10,Stranger Things,Stranger Things 5,2,English
South Korea,KR,2025-11-30,Films,1,Pretty Crazy,,1,English
South Korea,KR,2025-11-30,Films,2,Commission,,2,English
South Korea,KR,2025-11-30,Films,3,Paradise,,2,English
South Korea,KR,2025-11-30,Films,4,KPop Demon Hunters,,24,English
South Korea,KR,2025-11-30,Films,5,Frankenstein,,4,English
South Korea,KR,2025-11-30,Films,6,Champagne Problems,,2,English
South Korea,KR,2025-11-30,Films,7,You Are the Apple of My Eye,,1,English
South Korea,KR,2025-11-30,Films,8,Fabricated City,,4,English
South Korea,KR,2025-11-30,Films,9,Train Dreams,,1,English
South Korea,KR,2025-11-30,Films,10,Good News,,7,English
South Korea,KR,2025-11-30,TV,1,Three Idiots in Kenya,Three Idiots in Kenya: Season 1,1,English
South Korea,KR,2025-11-30,TV,2,Taxi Driver,Taxi Driver: Season 3,2,English
South Korea,KR,2025-11-30,TV,3,Dynamite Kiss,Dynamite Kiss: Limited Series,3,English
South Korea,KR,2025-11-30,TV,4,The Dream Life of Mr. Kim,The Dream Life of Mr. Kim: Limited Series,6,English
South Korea,KR,2025-11-30,TV,5,Baseball Queen,Baseball Queen: Season 1,1,English
South Korea,KR,2025-11-30,TV,6,Don’t Call Me Ma’am,Don’t Call Me Ma’am: Season 1,3,English
South Korea,KR,2025-11-30,TV,7,Typhoon Family,Typhoon Family: Limited Series,8,English
South Korea,KR,2025-11-30,TV,8,Stranger Things,Stranger Things 5,1,English
South Korea,KR,2025-11-30,TV,9,Taxi Driver,Taxi Driver: Season 1,5,English
South Korea,KR,2025-11-30,TV,10,As You Stood By,As You Stood By: Limited Series,4,English
South Korea,KR,2025-11-23,Films,1,Paradise,,1,English
South Korea,KR,2025-11-23,Films,2,Frankenstein,,3,English
South Korea,KR,2025-11-23,Films,3,Fabricated City,,3,English
South Korea,KR,2025-11-23,Films,4,Commission,,1,English
South Korea,KR,2025-11-23,Films,5,KPop Demon Hunters,,23,English
South Korea,KR,2025-11-23,Films,6,Now You See Me 2,,2,English
South Korea,KR,2025-11-23,Films,7,Good News,,6,English
South Korea,KR,2025-11-23,Films,8,In Your Dreams,,1,English
South Korea,KR,2025-11-23,Films,9,A HOUSE OF DYNAMITE,,5,English
South Korea,KR,2025-11-23,Films,10,Champagne Problems,,1,English
South Korea,KR,2025-11-23,TV,1,Taxi Driver,Taxi Driver: Season 3,1,English
South Korea,KR,2025-11-23,TV,2,Dynamite Kiss,Dynamite Kiss: Limited Series,2,English
South Korea,KR,2025-11-23,TV,3,The Dream Life of Mr. Kim,The Dream Life of Mr. Kim: Limited Series,5,English
South Korea,KR,2025-11-23,TV,4,Physical: Asia,Physical: Asia: Season 1,4,English
South Korea,KR,2025-11-23,TV,5,Don’t Call Me Ma’am,Don’t Call Me Ma’am: Season 1,2,English
South Korea,KR,2025-11-23,TV,6,As You Stood By,As You Stood By: Limited Series,3,English
South Korea,KR,2025-11-23,TV,7,Typhoon Family,Typhoon Family: Limited Series,7,English
South Korea,KR,2025-11-23,TV,8,Last Samurai Standing,Last Samurai Standing: Season 1,2,English
South Korea,KR,2025-11-23,TV,9,Taxi Driver,Taxi Driver: Season 1,4,English
South Korea,KR,2025-11-23,TV,10,My Grumpy Secretary,My Grumpy Secretary 2025,8,English
South Korea,KR,2025-11-16,Films,1,Frankenstein,,2,English
South Korea,KR,2025-11-16,Films,2,Fabricated City,,2,English
South Korea,KR,2025-11-16,Films,3,KPop Demon Hunters,,22,English
South Korea,KR,2025-11-16,Films,4,Good News,,5,English
South Korea,KR,2025-11-16,Films,5,A HOUSE OF DYNAMITE,,4,English
South Korea,KR,2025-11-16,Films,6,A Time to Kill,,1,English
South Korea,KR,2025-11-16,Films,7,Materialists,,1,English
South Korea,KR,2025-11-16,Films,8,Mantis,,8,English
South Korea,KR,2025-11-16,Films,9,Now You See Me 2,,1,English
South Korea,KR,2025-11-16,Films,10,The Killers,,3,English
South Korea,KR,2025-11-16,TV,1,As You Stood By,As You Stood By: Limited Series,2,English
South Korea,KR,2025-11-16,TV,2,Dynamite Kiss,Dynamite Kiss: Limited Series,1,English
South Korea,KR,2025-11-16,TV,3,The Dream Life of Mr. Kim,The Dream Life of Mr. Kim: Limited Series,4,English
South Korea,KR,2025-11-16,TV,4,Don’t Call Me Ma’am,Don’t Call Me Ma’am: Season 1,1,English
South Korea,KR,2025-11-16,TV,5,Physical: Asia,Physical: Asia: Season 1,3,English
South Korea,KR,2025-11-16,TV,6,Typhoon Family,Typhoon Family: Limited Series,6,English
South Korea,KR,2025-11-16,TV,7,The Hour of the Monster,The Hour of the Monster 2025,3,English
South Korea,KR,2025-11-16,TV,8,Last Samurai Standing,Last Samurai Standing: Season 1,1,English
South Korea,KR,2025-11-16,TV,9,My Grumpy Secretary,My Grumpy Secretary 2025,7,English
South Korea,KR,2025-11-16,TV,10,Last Summer,Last Summer: Season 1,2,English
South Korea,KR,2025-11-09,Films,1,Frankenstein,,1,English
South Korea,KR,2025-11-09,Films,2,Good News,,4,English
South Korea,KR,2025-11-09,Films,3,The Killers,,2,English
South Korea,KR,2025-11-09,Films,4,A HOUSE OF DYNAMITE,,3,English
South Korea,KR,2025-11-09,Films,5,KPop Demon Hunters,,21,English
South Korea,KR,2025-11-09,Films,6,Fabricated City,,1,English
South Korea,KR,2025-11-09,Films,7,Mantis,,7,English
South Korea,KR,2025-11-09,Films,8,28 Years Later,,4,English
South Korea,KR,2025-11-09,Films,9,Ballad of a Small Player,,2,English
South Korea,KR,2025-11-09,Films,10,Jack Reacher: Never Go Back,,6,English
South Korea,KR,2025-11-09,TV,1,The Dream Life of Mr. Kim,The Dream Life of Mr. Kim: Limited Series,3,English
South Korea,KR,2025-11-09,TV,2,Physical: Asia,Physical: Asia: Season 1,2,English
South Korea,KR,2025-11-09,TV,3,The Hour of the Monster,The Hour of the Monster 2025,2,English
South Korea,KR,2025-11-09,TV,4,Typhoon Family,Typhoon Family: Limited Series,5,English
South Korea,KR,2025-11-09,TV,5,As You Stood By,As You Stood By: Limited Series,1,English
South Korea,KR,2025-11-09,TV,6,Last Summer,Last Summer: Season 1,1,English
South Korea,KR,2025-11-09,TV,7,"Genie, Make a Wish","Genie, Make a Wish: Season 1",6,English
South Korea,KR,2025-11-09,TV,8,The Ballad of Us,The Ballad of Us 2025,7,English
South Korea,KR,2025-11-09,TV,9,My Grumpy Secretary,My Grumpy Secretary 2025,6,English
South Korea,KR,2025-11-09,TV,10,Chainsaw Man,Chainsaw Man: Season 1,6,English
South Korea,KR,2025-11-02,Films,1,Good News,,3,English
South Korea,KR,2025-11-02,Films,2,A HOUSE OF DYNAMITE,,2,English
South Korea,KR,2025-11-02,Films,3,KPop Demon Hunters,,20,English
South Korea,KR,2025-11-02,Films,4,28 Years Later,,3,English
South Korea,KR,2025-11-02,Films,5,Ballad of a Small Player,,1,English
South Korea,KR,2025-11-02,Films,6,Mantis,,6,English
South Korea,KR,2025-11-02,Films,7,The Killers,,1,English
South Korea,KR,2025-11-02,Films,8,The Elixir,,2,English
South Korea,KR,2025-11-02,Films,9,Tarot,,4,English
South Korea,KR,2025-11-02,Films,10,Yadang: The Snitch,,8,English
South Korea,KR,2025-11-02,TV,1,The Dream Life of Mr. Kim,The Dream Life of Mr. Kim: Limited Series,2,English
South Korea,KR,2025-11-02,TV,2,Physical: Asia,Physical: Asia: Season 1,1,English
South Korea,KR,2025-11-02,TV,3,Typhoon Family,Typhoon Family: Limited Series,4,English
South Korea,KR,2025-11-02,TV,4,"Genie, Make a Wish","Genie, Make a Wish: Season 1",5,English
South Korea,KR,2025-11-02,TV,5,The Hour of the Monster,The Hour of the Monster 2025,1,English
South Korea,KR,2025-11-02,TV,6,The Ballad of Us,The Ballad of Us 2025,6,English
South Korea,KR,2025-11-02,TV,7,My Grumpy Secretary,My Grumpy Secretary 2025,5,English
South Korea,KR,2025-11-02,TV,8,Chainsaw Man,Chainsaw Man: Season 1,5,English
South Korea,KR,2025-11-02,TV,9,First Lady,First Lady: Season 1,5,English
South Korea,KR,2025-11-02,TV,10,Romantics Anonymous,Romantics Anonymous: Season 1,3,English
South Korea,KR,2025-10-26,Films,1,Good News,,2,English
South Korea,KR,2025-10-26,Films,2,28 Years Later,,2,English
South Korea,KR,2025-10-26,Films,3,A HOUSE OF DYNAMITE,,1,English
South Korea,KR,2025-10-26,Films,4,KPop Demon Hunters,,19,English
South Korea,KR,2025-10-26,Films,5,Tarot,,3,English
South Korea,KR,2025-10-26,Films,6,The Elixir,,1,English
South Korea,KR,2025-10-26,Films,7,Mantis,,5,English
South Korea,KR,2025-10-26,Films,8,Kingmaker,,2,English
South Korea,KR,2025-10-26,Films,9,The Woman in Cabin 10,,3,English
South Korea,KR,2025-10-26,Films,10,Yadang: The Snitch,,7,English
South Korea,KR,2025-10-26,TV,1,Typhoon Family,Typhoon Family: Limited Series,3,English
South Korea,KR,2025-10-26,TV,2,"Genie, Make a Wish","Genie, Make a Wish: Season 1",4,English
South Korea,KR,2025-10-26,TV,3,The Dream Life of Mr. Kim,The Dream Life of Mr. Kim: Limited Series,1,English
South Korea,KR,2025-10-26,TV,4,My Grumpy Secretary,My Grumpy Secretary 2025,4,English
South Korea,KR,2025-10-26,TV,5,The Ballad of Us,The Ballad of Us 2025,5,English
South Korea,KR,2025-10-26,TV,6,Romantics Anonymous,Romantics Anonymous: Season 1,2,English
South Korea,KR,2025-10-26,TV,7,Chainsaw Man,Chainsaw Man: Season 1,4,English
