country_name,country_iso2,week,category,weekly_rank,show_title,season_title,cumulative_weeks_in_top_10,tmdb_id,tmdb_type,tmdb_title,genres,runtime_minutes,release_date,tmdb_rating,tmdb_vote_count,tmdb_popularity,original_language,production_countries,budget_usd,revenue_usd,top_cast,avg_cast_popularity,director,num_seasons,num_episodes,status,days_since_release,is_korean,season_number,is_sequel,competing_titles_this_week
Japan,JP,2026-02-01,Films,1,BAKA’s Identity,,2,1466302.0,movie,BAKA's Identity,Crime|Drama|Thriller,130.0,2025-10-24,7.4,5.0,1.464,ja,JP,0.0,20784.0,Go Ayano|Yoshiyuki Yamaguchi|Yuma Yamoto|Haruka Kinami|Mizuki Yamashita,1.34,Koto Nagata,,,Released,100.0,0,1,0,20
Japan,JP,2026-02-01,Films,2,Cosmic Princess Kaguya!,,2,1575337.0,movie,Cosmic Princess Kaguya!,Animation|Fantasy|Music|Science Fiction,141.0,2026-01-22,8.3,50.0,17.729,ja,JP,0.0,0.0,Yoshitsugu Matsuoka|Saori Hayami|Maaya Sakamoto|Kenichi Suzumura|Natsuki Hanae,3.43,Shingo Yamashita,,,Released,10.0,0,1,0,20
Japan,JP,2026-02-01,Films,3,Matsumoto Seicho's Glass Castle,,1,,,,,,,,,,,,,,,,,,,,,0,1,0,20
Japan,JP,2026-02-01,Films,4,Bad Boys: Ride or Die,,1,573435.0,movie,Bad Boys: Ride or Die,Action|Comedy|Crime|Thriller|Adventure,115.0,2024-06-05,7.339,3217.0,13.634,en,US,100000000.0,404547819.0,Will Smith|Martin Lawrence|Vanessa Hudgens|Joe Pantoliano|Rhea Seehorn,4.38,Adil El Arbi|Bilall Fallah,,,Released,606.0,0,1,0,20
Japan,JP,2026-02-01,Films,5,SHAM,,4,545368.0,movie,Sham,Drama|Romance,50.0,1921-05-05,0.0,0.0,0.1596,en,US,0.0,0.0,Ethel Clayton|Carrie Clark Ward|Sylvia Ashton|Theodore Roberts|Helen Dunbar,0.54,Thomas N. Heffron,,,Released,38258.0,0,1,0,20
Japan,JP,2026-02-01,Films,6,Matsumoto Seicho's Kao,,1,,,,,,,,,,,,,,,,,,,,,0,1,0,20
Japan,JP,2026-02-01,Films,7,Kyojo Reunion,,5,1557886.0,movie,Kyojo Reunion,Drama,150.0,2026-03-19,0.0,0.0,1.0926,ja,JP,0.0,0.0,Takuya Kimura|Ren Meguro|Eiji Akaso|Shota Sometani|Kyoko Saito,2.38,Isamu Nakae,,,Released,-46.0,0,1,0,20
Japan,JP,2026-02-01,Films,8,Siblings of the Cape,,1,579057.0,movie,Siblings of the Cape,Drama,89.0,2019-07-12,6.0,11.0,0.4927,ja,JP,0.0,0.0,Ayumu Tokitô|Takumi Matsuzawa|Yuki Kazamatsuri|Yutaro Nakamura|Kenji Iwaya,1.12,Shinzo Katayama,,,Released,2396.0,0,1,0,20
Japan,JP,2026-02-01,Films,9,Akogare Wo Koeta Samurai,,1,1142045.0,movie,Samurai Beyond Their Dreams: Becoming the Best in the World,Documentary,130.0,2023-06-02,7.0,1.0,0.1632,ja,JP,0.0,0.0,Hideki Kuriyama|Shohei Ohtani|Yu Darvish|Lars Nootbaar|Hitoshi Kubota,0.66,Shintaro Miki,,,Released,975.0,0,1,0,20
Japan,JP,2026-02-01,Films,10,100 Meters,,5,1295026.0,movie,100 METERS,Animation|Drama,107.0,2025-09-19,7.769,67.0,7.3927,ja,JP|US,0.0,3033000.0,Aoi Yuuki|Rie Takahashi|Kenjiro Tsuda|Tori Matsuzaka|Tomokazu Sugita,3.15,Kenji Iwaisawa,,,Released,135.0,0,1,0,20
Japan,JP,2026-02-01,TV,1,Jujutsu Kaisen,Jujutsu Kaisen: Season 3,4,95479.0,tv,JUJUTSU KAISEN,Animation|Action & Adventure|Sci-Fi & Fantasy,24.0,2020-10-03,8.56,4197.0,185.2808,ja,JP,,,,0.0,,1.0,59.0,Returning Series,1947.0,0,3,1,20
Japan,JP,2026-02-01,TV,2,Frieren: Beyond Journey's End,Frieren: Beyond Journey's End: Season 2,2,209867.0,tv,Frieren: Beyond Journey's End,Animation|Action & Adventure|Drama|Sci-Fi & Fantasy,25.0,2023-09-29,8.771,698.0,91.4523,ja,JP,,,Hiroki Touchi|Atsumi Tanezaki|Nobuhiko Okamoto|Kana Ichinose|Yoji Ueda,1.75,Kanehito Yamada|Keiichiro Saito|Tsukasa Abe,1.0,39.0,Returning Series,856.0,0,2,1,20
Japan,JP,2026-02-01,TV,3,Hell's Paradise: Jigokuraku,Hell's Paradise: Jigokuraku: Season 2,2,117465.0,tv,Hell's Paradise,Animation|Action & Adventure|Sci-Fi & Fantasy,25.0,2023-04-01,8.142,394.0,69.7477,ja,JP,,,Rie Takahashi|Yumiri Hanamori|Konomi Kohara|Ryohei Kimura|Daiki Yamashita,2.33,Yuji Kaku,1.0,25.0,Returning Series,1037.0,0,2,1,20
