country_name,country_iso2,week,category,weekly_rank,show_title,season_title,cumulative_weeks_in_top_10
Japan,JP,2025-12-28,TV,5,Dynamite Kiss,Dynamite Kiss: Limited Series,7
Japan,JP,2025-12-28,TV,6,Campfire Cooking in Another World with My Absurd Skill,Campfire Cooking in Another World with My Absurd Skill: Season 2,10
Japan,JP,2025-12-28,TV,7,Last Samurai Standing,Last Samurai Standing: Season 1,7
Japan,JP,2025-12-28,TV,8,SPY x FAMILY,SPY x FAMILY: Season 3,12
Japan,JP,2025-12-28,TV,9,Emily in Paris,Emily in Paris: Season 5,1
Japan,JP,2025-12-28,TV,10,"Backstabbed in a Backwater Dungeon: My Trusted Companions Tried to Kill Me, but Thanks to the Gift of an Unlimited Gacha I Got LVL 9999 Friends and Am Out for Revenge on My Former Party Members and the World","Backstabbed in a Backwater Dungeon: My Trusted Companions Tried to Kill Me, but Thanks to the Gift of an Unlimited Gacha I Got LVL 9999 Friends and Am Out for Revenge on My Former Party Members and the World: Season 1",6
Japan,JP,2025-12-21,Films,1,Muroi Shinji: Stay Alive,,1
Japan,JP,2025-12-21,Films,2,10DANCE,,1
Japan,JP,2025-12-21,Films,3,The Great Flood,,1
Japan,JP,2025-12-21,Films,4,Wake Up Dead Man: A Knives Out Mystery,,2
Japan,JP,2025-12-21,Films,5,Muroi Shinji: Not Defeated,,6
Japan,JP,2025-12-21,Films,6,Anpanman: Baikinman and Lulun in the Picture Book,,1
Japan,JP,2025-12-21,Films,7,Harry Potter and the Sorcerer's Stone,,32
Japan,JP,2025-12-21,Films,8,KPop Demon Hunters,,26
Japan,JP,2025-12-21,Films,9,The Call of the Wild,,2
Japan,JP,2025-12-21,Films,10,Don't Lose Your Head!,,3
Japan,JP,2025-12-21,TV,1,Badly in Love,Badly in Love: Season 1,2
Japan,JP,2025-12-21,TV,2,Scandal Eve,Scandal Eve: Season 1,5
Japan,JP,2025-12-21,TV,3,Record of Ragnarok,Record of Ragnarok: Season 3,2
Japan,JP,2025-12-21,TV,4,Dynamite Kiss,Dynamite Kiss: Limited Series,6
Japan,JP,2025-12-21,TV,5,Passing the Reins,Passing the Reins: Season 1,9
Japan,JP,2025-12-21,TV,6,The Price of Confession,The Price of Confession: Season 1,2
Japan,JP,2025-12-21,TV,7,Last Samurai Standing,Last Samurai Standing: Season 1,6
Japan,JP,2025-12-21,TV,8,Just a Bit Espers,Just a Bit Espers: Season 1,9
Japan,JP,2025-12-21,TV,9,Campfire Cooking in Another World with My Absurd Skill,Campfire Cooking in Another World with My Absurd Skill: Season 2,9
Japan,JP,2025-12-21,TV,10,SPY x FAMILY,SPY x FAMILY: Season 3,11
Japan,JP,2025-12-14,Films,1,Don't Lose Your Head!,,2
Japan,JP,2025-12-14,Films,2,Alpha,,1
Japan,JP,2025-12-14,Films,3,Wake Up Dead Man: A Knives Out Mystery,,1
Japan,JP,2025-12-14,Films,4,KPop Demon Hunters,,25
Japan,JP,2025-12-14,Films,5,The Roundup: Punishment,,2
Japan,JP,2025-12-14,Films,6,Muroi Shinji: Not Defeated,,5
Japan,JP,2025-12-14,Films,7,My Secret Santa,,1
Japan,JP,2025-12-14,Films,8,The Call of the Wild,,1
Japan,JP,2025-12-14,Films,9,Troll 2,,2
Japan,JP,2025-12-14,Films,10,The Blood of Wolves,,5
Japan,JP,2025-12-14,TV,1,Badly in Love,Badly in Love: Season 1,1
Japan,JP,2025-12-14,TV,2,The Price of Confession,The Price of Confession: Season 1,1
Japan,JP,2025-12-14,TV,3,Record of Ragnarok,Record of Ragnarok: Season 3,1
Japan,JP,2025-12-14,TV,4,Scandal Eve,Scandal Eve: Season 1,4
Japan,JP,2025-12-14,TV,5,Last Samurai Standing,Last Samurai Standing: Season 1,5
Japan,JP,2025-12-14,TV,6,Dynamite Kiss,Dynamite Kiss: Limited Series,5
Japan,JP,2025-12-14,TV,7,Campfire Cooking in Another World with My Absurd Skill,Campfire Cooking in Another World with My Absurd Skill: Season 2,8
Japan,JP,2025-12-14,TV,8,Just a Bit Espers,Just a Bit Espers: Season 1,8
Japan,JP,2025-12-14,TV,9,SPY x FAMILY,SPY x FAMILY: Season 3,10
Japan,JP,2025-12-14,TV,10,My Hero Academia,My Hero Academia: Final Season,5
Japan,JP,2025-12-07,Films,1,The Roundup: Punishment,,1
Japan,JP,2025-12-07,Films,2,Troll 2,,1
Japan,JP,2025-12-07,Films,3,Winnie the Pooh: Blood and Honey,,1
Japan,JP,2025-12-07,Films,4,KPop Demon Hunters,,24
Japan,JP,2025-12-07,Films,5,Summer Wars,,5
Japan,JP,2025-12-07,Films,6,Troll,,5
Japan,JP,2025-12-07,Films,7,Don't Lose Your Head!,,1
Japan,JP,2025-12-07,Films,8,Muroi Shinji: Not Defeated,,4
Japan,JP,2025-12-07,Films,9,Winnie-the-Pooh: Blood and Honey 2,,1
Japan,JP,2025-12-07,Films,10,Jingle Bell Heist,,2
Japan,JP,2025-12-07,TV,1,Last Samurai Standing,Last Samurai Standing: Season 1,4
Japan,JP,2025-12-07,TV,2,Scandal Eve,Scandal Eve: Season 1,3
Japan,JP,2025-12-07,TV,3,Stranger Things,Stranger Things 5,2
Japan,JP,2025-12-07,TV,4,Dynamite Kiss,Dynamite Kiss: Limited Series,4
Japan,JP,2025-12-07,TV,5,Just a Bit Espers,Just a Bit Espers: Season 1,7
Japan,JP,2025-12-07,TV,6,New Saga,New Saga: Season 1,1
Japan,JP,2025-12-07,TV,7,Campfire Cooking in Another World with My Absurd Skill,Campfire Cooking in Another World with My Absurd Skill: Season 2,7
