country_name,country_iso2,week,category,weekly_rank,show_title,season_title,cumulative_weeks_in_top_10,language,tmdb_id,tmdb_type,tmdb_title,genres,runtime_minutes,release_date,tmdb_rating,tmdb_vote_count,tmdb_popularity,original_language,production_countries,budget_usd,revenue_usd,top_cast,avg_cast_popularity,director,num_seasons,num_episodes,status,days_since_release,is_korean,season_number,is_sequel,competing_titles_this_week
South Korea,KR,2026-02-01,TV,6,To My Beloved Thief,To My Beloved Thief: Season 1,4,English,301886.0,tv,To My Beloved Thief,Sci-Fi & Fantasy|Comedy|Drama,,2026-01-03,9.6,5.0,8.6279,ko,KR,,,Hong Min-gi|Choi Won-young|Nam Ji-hyun|Ha Seok-jin|Moon Sang-min,1.76,,1.0,16.0,Returning Series,29.0,1,1,0,20
South Korea,KR,2026-02-01,TV,7,Jujutsu Kaisen,Jujutsu Kaisen: Season 3,4,English,95479.0,tv,JUJUTSU KAISEN,Animation|Action & Adventure|Sci-Fi & Fantasy,24.0,2020-10-03,8.56,4197.0,185.2808,ja,JP,,,,0.0,,1.0,59.0,Returning Series,1947.0,0,3,1,20
South Korea,KR,2026-02-01,TV,8,Bridgerton,Bridgerton: Season 4,1,English,91239.0,tv,Bridgerton,Drama,,2020-12-25,8.1,3148.0,114.7094,en,US,,,Claudia Jessie|Ruth Gemmell|Luke Thompson|Golda Rosheuvel|Yerin Ha,4.14,Chris Van Dusen,4.0,32.0,Returning Series,1864.0,0,4,1,20
South Korea,KR,2026-02-01,TV,9,Positively Yours,Positively Yours: Season 1,2,English,296009.0,tv,Positively Yours,Comedy|Family|Drama,,2026-01-17,9.0,3.0,10.1878,ko,KR,,,Kim Ki-doo|Choi Jin-hyuk|Hong Jong-hyun|Oh Yeon-seo|Son Byung-ho,1.57,,1.0,12.0,Returning Series,15.0,1,1,0,20
South Korea,KR,2026-02-01,TV,10,Match To Marry: With Parents,Match To Marry: With Parents 2026,4,English,,,,,,,,,,,,,,,,,,,,,0,1,0,20
South Korea,KR,2026-01-25,Films,1,The Rip,,2,English,1306368.0,movie,The Rip,Action|Thriller|Crime,113.0,2026-01-13,7.063,1202.0,78.6886,en,US,100000000.0,0.0,Ben Affleck|Matt Damon|Scott Adkins|Teyana Taylor|Sasha Calle,6.23,Joe Carnahan,,,Released,12.0,0,1,0,20
South Korea,KR,2026-01-25,Films,2,Missing You,,2,English,390433.0,movie,Missing You,Crime|Thriller,108.0,2016-03-10,7.16,78.0,6.9126,ko,KR,0.0,0.0,Kim Won-hae|Shim Eun-kyung|Jung Hae-kyun|Lee Gap-seon|Jung Chan-hoon,1.38,Mo Hong-jin,,,Released,3608.0,1,1,0,20
South Korea,KR,2026-01-25,Films,3,The Net,,2,English,1642.0,movie,The Net,Crime|Drama|Mystery|Thriller|Action,114.0,1995-07-28,6.0,1478.0,3.0925,en,US,22000000.0,110627965.0,Sandra Bullock|David Winkler|Brad Hill|Wendy Gazelle|Obba Babatundé,3.47,Irwin Winkler,,,Released,11139.0,0,1,0,20
South Korea,KR,2026-01-25,Films,4,Homeward Bound,,2,English,1177450.0,movie,ICAC: Homeward Bound,,51.0,1978-03-01,0.0,0.0,4.2913,cn,HK,0.0,0.0,Damian Lau Chung-Yan|Mary Cheung|Kwan Chung|Tian Qing|May Che Yuet-Mei,1.12,Ann Hui,,,Released,17497.0,0,1,0,20
South Korea,KR,2026-01-25,Films,5,The Ugly,,3,English,40961.0,movie,The Ugly,Horror|Thriller,93.0,1997-08-26,5.909,55.0,0.4945,fr,NZ,0.0,0.0,Katrina Browne|Beth Allen|Darien Takle|Paolo Rotondo|Scott Wills,1.56,Scott Reynolds,,,Released,10379.0,0,1,0,20
