tmdb_id,tmdb_type,tmdb_title,genres,runtime_minutes,release_date,tmdb_rating,tmdb_vote_count,tmdb_popularity,original_language,production_countries,budget_usd,revenue_usd,top_cast,avg_cast_popularity,director,num_seasons,num_episodes,status,show_title
119769.0,tv,Taxi Driver,Action & Adventure|Crime|Drama,64.0,2021-04-09,8.183,172.0,27.8349,ko,KR,,,Lee Je-hoon|Kim Eui-sung|Pyo Ye-jin|Bae Yu-ram|Jang Hyuk-jin,1.58,Lee Ok-gyu,3.0,48.0,Ended,Taxi Driver
284744.0,tv,Pro Bono,Comedy|Drama,,2025-12-06,8.192,26.0,7.6537,ko,KR,,,So Joo-yeon|Jung Kyung-ho|Lee You-young|Kim Kap-soo|Choi Dae-hoon,1.54,Kim Seong-yoon|Baek Sang-Hoon|Moon Yoo-seok,1.0,12.0,Ended,Pro Bono
139628.0,tv,Love Me,Drama,43.0,2021-12-26,6.0,29.0,6.1938,en,AU|SE,,,Hugo Weaving|Bojana Novaković|William Lodder|Bob Morley|Mitzi Ruhlmann,1.69,Josephine Bornebusch,2.0,12.0,Ended,Love Me
606856.0,movie,Togo,Adventure|Family,113.0,2019-12-20,8.133,2204.0,3.8191,en,US,0.0,0.0,Willem Dafoe|Zahn McClarnon|Michael Gaston|Julianne Nicholson|Richard Dormer,3.66,Ericson Core,,,Released,Togo
571648.0,movie,Beasts Clawing at Straws,Mystery|Thriller|Crime|Drama,108.0,2020-02-19,7.087,271.0,1.7833,ko,KR,0.0,5707415.0,Lee E-dam|Jung Woo-sung|Jeon Do-yeon|Bae Sung-woo|Hwang In-sung,1.85,Kim Yong-hoon,,,Released,Beasts Clawing at Straws
1131759.0,movie,Omniscient Reader: The Prophecy,Action|Adventure|Fantasy,117.0,2025-07-23,6.805,64.0,34.1091,ko,KR,0.0,9187679.0,JISOO|Lee Min-ho|Ahn Hyo-seop|Park Ho-san|Shin Seung-ho,3.12,Kim Byung-woo,,,Released,Omniscient Reader: The Prophecy
1521915.0,movie,Bread Barbershop: The Bakerytown Baddies,Animation|Family,71.0,2025-09-27,0.0,0.0,0.1133,ko,KR,0.0,0.0,Kang Shi-hyun|Kim Chae-ha|Kim Yeon-woo|Um Sang-hyun|Park Yun-hee,0.98,Jung Ji-hwan,,,Released,Bread Barbershop: The Bakerytown Baddies
1339592.0,movie,The Land of Morning Calm,Drama,114.0,2024-11-27,6.625,5.0,0.6269,ko,KR,0.0,0.0,Yoo Soon-woong|Na Jong-min|Yang Hee-kyung|Park Jong-hwan|Jung Hoe-ryn,1.08,Park Ri-woong,,,Released,The Land of Morning Calm
238458.0,tv,Cashero,Action & Adventure|Drama,,2025-12-26,7.262,63.0,13.6326,ko,KR,,,Lee Jun-ho|Lee Chae-min|Kang Hanna|Shin Su-hyun|Kim Hye-jun,1.74,Lee Chang-min|Jeon Chan-ho,1.0,8.0,Ended,Cashero
72400.0,tv,NO.MERCY,Reality,90.0,2014-12-10,0.0,0.0,0.7845,ko,,,,Kim Da-som|Yoon Bo-ra|Giriboy|K.Will|Hyolyn,1.14,,1.0,10.0,Ended,No Mercy
13700.0,tv,Indian Idol,Reality,75.0,2004-10-28,6.1,14.0,12.8342,hi,IN,,,Shreya Ghoshal|Vishal Dadlani|Badshah|Aditya Narayan,1.06,,16.0,408.0,Returning Series,Idol I
812583.0,movie,Wake Up Dead Man: A Knives Out Mystery,Thriller|Mystery|Comedy,145.0,2025-11-26,7.2,2077.0,18.0857,en,US,210000000.0,4000000.0,Mila Kunis|Josh Brolin|Daniel Craig|Joseph Gordon-Levitt|Josh O'Connor,5.79,Rian Johnson,,,Released,Wake Up Dead Man: A Knives Out Mystery
873797.0,movie,Pretty Crazy,Romance|Comedy|Mystery,113.0,2025-08-13,7.093,27.0,3.8022,ko,KR,0.0,0.0,Ahn Bo-hyun|Yoona|Shin Hyun-soo|Baek Seung-chul|Song Duk-ho,1.98,Lee Sang-geun,,,Released,Pretty Crazy
209110.0,tv,The Price of Confession,Mystery|Drama,50.0,2025-12-05,8.0,51.0,8.9215,ko,KR,,,Kim Go-eun|Jin Sun-kyu|Choi Young-jun|Jeon Do-yeon|Park Hae-soo,1.73,Kwon Jong-kwan|Lee Jung-hyo,1.0,12.0,Ended,The Price of Confession
66732.0,tv,Stranger Things,Sci-Fi & Fantasy|Mystery|Action & Adventure,,2016-07-15,8.579,20658.0,231.5885,en,US,,,Millie Bobby Brown|Finn Wolfhard|Sadie Sink|Maya Hawke|Joe Keery,10.32,Ross Duffer|Matt Duffer,5.0,42.0,Ended,Stranger Things
305379.0,tv,Badly in Love,Reality,,2025-12-09,7.8,4.0,2.8853,ja,JP,,,MEGUMI|Nagano|AK-69,0.77,MEGUMI,1.0,10.0,Returning Series,Badly in Love
762951.0,movie,Dr. Seuss' The Grinch Musical,Family|Music|TV Movie|Fantasy,82.0,2020-12-09,5.1,13.0,0.3577,en,US,0.0,0.0,Francesca Mills|Claire Machin|Gary Wilmot|Matthew Morrison|Denis O'Hare,1.82,Julia Knowles|Max Webster,,,Released,Dr. Seuss' The Grinch
1097001.0,movie,Only God Knows Everything,Mystery|Thriller,116.0,2025-08-22,5.5,2.0,0.6793,ko,KR,0.0,0.0,Shin Seung-ho|Jeon So-min|Paek Joo-hwan|Nam Joong-gyu|Park Myung-hoon,1.33,Paek Seung-hwan,,,Released,Only God knows Everything
1468057.0,movie,GATAO: Big Brothers,Crime|Action,0.0,2025-08-21,6.5,8.0,4.073,zh,TW,0.0,0.0,Chen-Kang Tang|Tzu-Chiang Wang|Frederick Lee|Jack Kao|Yu An-Shun,1.96,Jui-Chih Chiang|Yao Hung-I,,,Released,Gatao: Big Brothers
309113.0,tv,Physical: Welcome to Mongolia,Reality,,2025-12-24,10.0,1.0,0.9181,ko,KR,,,Kim Dong-hyun|Amotti|Orkhonbayar Bayarsaikhan,0.26,Jang Ho-gi|Baek Seon-hye,1.0,4.0,Returning Series,Physical: Welcome to Mongolia
281013.0,tv,Dynamite Kiss,Drama|Comedy,68.0,2025-11-12,8.205,66.0,11.4503,ko,KR,,,Ahn Eun-jin|Jang Ki-yong|Choi Gwang-il|Woo Da-vi|Kim Moo-joon,1.61,Kim Jae-hyun|Ha Yoon-ah|Kim Hyun-woo,1.0,14.0,Ended,Dynamite Kiss
481848.0,movie,The Call of the Wild,Adventure|Family|Drama,100.0,2020-02-19,7.523,3899.0,5.4297,en,US,109000000.0,111200000.0,Harrison Ford|Dan Stevens|Bradley Whitford|Karen Gillan|Omar Sy,4.03,Chris Sanders,,,Released,The Call of the Wild
1605227.0,movie,"Afternoon on the Canola Fields | Drone Footage in Woodstock, NSW",Documentary,2.0,2025-09-26,0.0,0.0,0.0143,en,AU,0.0,0.0,,0.0,Christopher Pointer,,,Released,Canola
130150.0,movie,Labor Day,Drama|Romance|Thriller,111.0,2013-12-27,7.034,1286.0,4.5224,en,US,18000000.0,20275812.0,James Van Der Beek|Tobey Maguire|Kate Winslet|Josh Brolin|J.K. Simmons,7.34,Jason Reitman,,,Released,Labor Day
304068.0,tv,Three Idiots in Kenya,Reality,,2025-11-25,8.25,4.0,2.2287,ko,KR,,,Cho Kyu-hyun|Lee Su-geun|Eun Ji-won,0.78,Kim Ye-seul|Na Yeong-seok,1.0,6.0,Returning Series,Three Idiots in Kenya
129236.0,tv,I Am Solo,Reality,,2021-07-14,6.0,2.0,5.9261,ko,KR,,,Lee Yi-kyung|Jun Hyo-seong|Defconn|Song Hae-na,0.9,,1.0,238.0,Returning Series,I am Solo
294731.0,tv,Don't Call Me Ma'am,Comedy|Drama,,2025-11-10,7.0,5.0,2.0804,ko,KR,,,Jang In-sub|Jin Seo-yeon|Kim Hee-seon|Yoon Park|Han Hye-jin,1.45,,1.0,12.0,Ended,Don’t Call Me Ma’am
1180831.0,movie,Troll 2,Action|Fantasy|Thriller,102.0,2025-11-30,6.529,408.0,19.8823,no,NO,11200000.0,0.0,Ine Marie Wilmann|Sara Khorami|Karoline Viktoria Sletteng Garvang|Mads Sjøgård Pettersen|Dennis Storhøi,1.75,Roar Uthaug,,,Released,Troll 2
736526.0,movie,Troll,Fantasy|Action|Adventure,104.0,2022-11-30,6.571,1974.0,4.6186,no,NO,0.0,0.0,Ine Marie Wilmann|Billy Campbell|Karoline Viktoria Sletteng Garvang|Mads Sjøgård Pettersen|Dennis Storhøi,1.71,Roar Uthaug,,,Released,Troll
275592.0,tv,The Dream Life of Mr. Kim,Comedy|Drama,,2025-10-25,8.333,9.0,4.4071,ko,KR,,,Lee Kang-wook|Myung Se-bin|Park Soo-young|Ryu Seung-ryong|Ko Chang-seok,1.43,Jo Hyun-tak,1.0,12.0,Ended,The Dream Life of Mr. Kim
306645.0,tv,Baseball Queen,Reality,,2025-11-25,0.0,0.0,0.4997,ko,KR,,,Park Ha-yan|Pak Se-ri|Kim Min-ji|Jung You-in|Yoon Suk-min,0.91,,1.0,11.0,Returning Series,Baseball Queen
1544513.0,movie,Chainsaw Man – The Compilation Part I,Action|Fantasy|Animation,120.0,2025-09-05,7.0,9.0,3.0538,ja,JP,0.0,0.0,Kenjiro Tsuda|Marina Inoue|Yuhko Kaida|Taku Yashiro|Tomori Kusunoki,2.52,Tatsuya Yoshihara,,,Released,Chainsaw Man – The Compilation
